event_date,year,type,total_events
2017-01-18,2017,CommitCommentEvent,2992
2017-01-18,2017,CreateEvent,163512
2017-01-18,2017,DeleteEvent,28776
2017-01-18,2017,GollumEvent,7217
2017-01-18,2017,IssueCommentEvent,96528
2017-01-18,2017,IssuesEvent,44498
2017-01-18,2017,MemberEvent,7315
2017-01-18,2017,PublicEvent,1135
2017-01-18,2017,PullRequestEvent,69892
2017-01-18,2017,PullRequestReviewCommentEvent,25792
2017-01-18,2017,PushEvent,552324
2017-01-18,2017,ReleaseEvent,4179
2017-01-18,2017,WatchEvent,92774
2017-01-19,2017,CommitCommentEvent,2722
2017-01-19,2017,CreateEvent,158702
2017-01-19,2017,DeleteEvent,27486
2017-01-19,2017,GollumEvent,8540
2017-01-19,2017,IssueCommentEvent,93822
2017-01-19,2017,IssuesEvent,45434
2017-01-19,2017,MemberEvent,6113
2017-01-19,2017,PublicEvent,1240
2017-01-19,2017,PullRequestEvent,67027
2017-01-19,2017,PullRequestReviewCommentEvent,25264
2017-01-19,2017,PushEvent,556356
2017-01-19,2017,ReleaseEvent,4134
2017-01-19,2017,WatchEvent,92077
2017-01-20,2017,CommitCommentEvent,2743
2017-01-20,2017,CreateEvent,161695
2017-01-20,2017,DeleteEvent,31953
2017-01-20,2017,GollumEvent,7491
2017-01-20,2017,IssueCommentEvent,87048
2017-01-20,2017,IssuesEvent,42294
2017-01-20,2017,MemberEvent,7158
2017-01-20,2017,PublicEvent,1019
2017-01-20,2017,PullRequestEvent,66059
2017-01-20,2017,PullRequestReviewCommentEvent,23327
2017-01-20,2017,PushEvent,512970
2017-01-20,2017,ReleaseEvent,3861
2017-01-20,2017,WatchEvent,83961
2017-01-21,2017,CommitCommentEvent,1648
2017-01-21,2017,CreateEvent,106595
2017-01-21,2017,DeleteEvent,18936
2017-01-21,2017,GollumEvent,4805
2017-01-21,2017,IssueCommentEvent,44982
2017-01-21,2017,IssuesEvent,24822
2017-01-21,2017,MemberEvent,7180
2017-01-21,2017,PublicEvent,753
2017-01-21,2017,PullRequestEvent,36043
2017-01-21,2017,PullRequestReviewCommentEvent,8284
2017-01-21,2017,PushEvent,395732
2017-01-21,2017,ReleaseEvent,2739
2017-01-21,2017,WatchEvent,53829
2017-01-22,2017,CommitCommentEvent,1770
2017-01-22,2017,CreateEvent,109643
2017-01-22,2017,DeleteEvent,15923
2017-01-22,2017,GollumEvent,5358
2017-01-22,2017,IssueCommentEvent,46096
2017-01-22,2017,IssuesEvent,26205
2017-01-22,2017,MemberEvent,3206
2017-01-22,2017,PublicEvent,934
2017-01-22,2017,PullRequestEvent,38124
2017-01-22,2017,PullRequestReviewCommentEvent,9488
2017-01-22,2017,PushEvent,436560
2017-01-22,2017,ReleaseEvent,4245
2017-01-22,2017,WatchEvent,66901
